entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n50/instancia_00.txt,389,424,389,389,389,188.616955,0.010987,0.054606,0.389298,6.242945
./yes20250530_024819_yes/n50/instancia_01.txt,377,403,377,377,377,119.286679,0.01103,0.056778,0.39708,5.543316
./yes20250530_024819_yes/n50/instancia_02.txt,366,393,367,366,366,20.346276,0.011091,0.056792,0.392342,6.185674
./yes20250530_024819_yes/n50/instancia_03.txt,465,478,465,465,465,15.859006,0.010824,0.057553,0.403095,6.650544
./yes20250530_024819_yes/n50/instancia_04.txt,44,95,85,83,66,200.949397,0.012352,0.044657,0.309155,5.465316
./yes20250530_024819_yes/n50/instancia_05.txt,147,173,147,147,147,362.542097,0.010722,0.048126,0.335229,6.077742
./yes20250530_024819_yes/n50/instancia_06.txt,75,127,94,91,75,160.924473,0.010639,0.041426,0.263367,4.818773
./yes20250530_024819_yes/n50/instancia_07.txt,438,438,438,438,438,10.918796,0.010891,0.056881,0.42354,6.760792
./yes20250530_024819_yes/n50/instancia_08.txt,408,423,408,408,408,59.854485,0.010726,0.056332,0.410931,6.308286
./yes20250530_024819_yes/n50/instancia_09.txt,463,469,463,463,463,326.619608,0.010684,0.056492,0.433231,6.389682
