entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n30/instancia_00.txt,62,153,142,131,120,10.99253,0.014868,0.039933,0.232297,3.343754
./yes20250530_024819_yes/n30/instancia_01.txt,243,294,244,243,243,26.252452,0.013515,0.041831,0.264686,3.518833
./yes20250530_024819_yes/n30/instancia_02.txt,153,209,187,179,153,0.411616,0.01065,0.034441,0.220398,3.010295
./yes20250530_024819_yes/n30/instancia_03.txt,44,98,86,83,62,36.082489,0.013262,0.034595,0.204555,3.149008
./yes20250530_024819_yes/n30/instancia_04.txt,203,226,203,203,203,32.380497,0.013356,0.045805,0.261604,3.686688
./yes20250530_024819_yes/n30/instancia_05.txt,301,301,301,301,301,10.029305,0.013669,0.049623,0.301357,3.906571
./yes20250530_024819_yes/n30/instancia_06.txt,398,440,398,398,398,1.323284,0.013928,0.053787,0.322522,3.803205
./yes20250530_024819_yes/n30/instancia_07.txt,440,440,440,440,440,4.49275,0.012106,0.044961,0.300366,4.198491
./yes20250530_024819_yes/n30/instancia_08.txt,195,214,195,195,195,42.423502,0.011099,0.03974,0.239729,3.917268
./yes20250530_024819_yes/n30/instancia_09.txt,450,450,450,450,450,0.473988,0.010448,0.041373,0.282629,4.459656
