entrada,exato,heuristico_10,heuristico_100,heuristico_1000,time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000
20250528_220724/in0.txt,344,344,344,344,7.32452,0.020842,0.106588,0.804815
20250528_220724/in1.txt,74,80,78,74,0.124222,0.016007,0.027868,0.157804
20250528_220724/in2.txt,286,286,286,286,21.762725,0.031867,0.194105,2.077457
20250528_220724/in3.txt,200,200,200,200,7.719535,0.031407,0.111591,0.683179
20250528_220724/in4.txt,420,420,420,420,18.396775,0.028728,0.185345,1.79978
20250528_220724/in5.txt,170,170,170,170,1.54628,0.027654,0.079429,0.446488
20250528_220724/in6.txt,74,74,74,74,0.692266,0.022149,0.055695,0.343963
20250528_220724/in7.txt,404,404,404,404,10.566379,0.033789,0.173626,1.301361
20250528_220724/in8.txt,444,444,444,444,0.272067,0.028685,0.109642,0.976459
20250528_220724/in9.txt,87,87,87,87,0.212196,0.017803,0.046456,0.239686
20250528_220724/in10.txt,413,413,413,413,2.09307,0.029137,0.135339,0.967149
20250528_220724/in11.txt,279,287,282,279,39.516708,0.043263,0.239339,1.991858
20250528_220724/in12.txt,461,464,461,461,89.060737,0.034337,0.223418,1.951171
20250528_220724/in13.txt,282,283,282,282,23.939806,0.037884,0.174158,1.548266
20250528_220724/in14.txt,398,398,398,398,24.915042,0.026499,0.141726,1.29642
20250528_220724/in15.txt,31,31,31,31,0.030575,0.012464,0.014262,0.067285
20250528_220724/in16.txt,74,84,79,74,142.586962,0.029406,0.144764,1.13952
20250528_220724/in17.txt,455,455,455,455,21.134778,0.034348,0.195065,1.537832
20250528_220724/in18.txt,77,77,77,77,3.518779,0.025769,0.086446,0.542792
20250528_220724/in19.txt,362,364,362,362,6.824236,0.031997,0.154385,1.086957
20250528_220724/in20.txt,186,186,186,186,0.361191,0.017955,0.054869,0.513947
20250528_220724/in21.txt,271,271,271,271,0.165631,0.022007,0.079058,0.618369
20250528_220724/in22.txt,98,106,98,98,84.57016,0.023533,0.130076,1.193137
20250528_220724/in23.txt,474,474,474,474,0.247842,0.021885,0.108457,1.029181
20250528_220724/in24.txt,93,151,142,137,12.487945,0.027311,0.103192,0.702059
20250528_220724/in25.txt,193,193,193,193,0.054526,0.014425,0.038364,0.248097
20250528_220724/in26.txt,145,145,145,145,0.621745,0.021238,0.052446,0.293373
20250528_220724/in27.txt,509,509,509,509,25.301459,0.032232,0.213677,2.000339
20250528_220724/in28.txt,62,62,62,62,0.148248,0.011408,0.025587,0.150874
20250528_220724/in29.txt,185,193,185,185,14.893999,0.027822,0.114561,0.766282
