entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n20/instancia_00.txt,159,165,159,159,159,1.978716,0.010166,0.027089,0.164063,2.037044
./yes20250530_024819_yes/n20/instancia_01.txt,215,222,220,215,215,1.542671,0.009429,0.027976,0.161655,1.925135
./yes20250530_024819_yes/n20/instancia_02.txt,111,151,139,132,111,0.726659,0.009316,0.023681,0.128002,1.739665
./yes20250530_024819_yes/n20/instancia_03.txt,166,179,166,166,166,2.142984,0.009457,0.025889,0.149756,2.314725
./yes20250530_024819_yes/n20/instancia_04.txt,117,147,121,117,117,3.568262,0.012521,0.034311,0.189195,2.317887
./yes20250530_024819_yes/n20/instancia_05.txt,138,159,142,139,138,2.986731,0.013357,0.038309,0.207497,2.386262
./yes20250530_024819_yes/n20/instancia_06.txt,229,236,229,229,229,0.618544,0.010217,0.029683,0.182887,2.468792
./yes20250530_024819_yes/n20/instancia_07.txt,167,182,167,167,167,1.672378,0.013194,0.038828,0.215465,2.377687
./yes20250530_024819_yes/n20/instancia_08.txt,34,63,48,46,34,11.048605,0.01365,0.032664,0.175128,2.308338
./yes20250530_024819_yes/n20/instancia_09.txt,238,244,238,238,238,1.40806,0.014154,0.040162,0.219224,2.55738
